name,product_title,product_url,rating,review_long,review_short
Arielle Kowal,Nintendo Switch 32GB Console Video Games w/ 32GB Memory Card | Neon Red/Neon Blue Joy-Con | 1080p Resolution | 802.11ac WiFi | HDMI | Surround Sound | IR Motion Camera,https//amazon.com/Nintendo-Console-Resolution-802-11ac-Surround/dp/B07RGFF98S,3.0 out of 5 stars,"The consoles are great, however, the two I ordered didn’t come with the 32 GB memory card that is advertised that it comes with. You can get these same consoles at Walmart for almost $100 less too. Talk about a scam. Only reason I ordered here was to get the extra memory cards it said it came with but never got them. Save your money and go to Walmart.",Doesn’t come with everything advertised.
Rich,Nintendo Switch 32GB Console Video Games w/ 32GB Memory Card | Neon Red/Neon Blue Joy-Con | 1080p Resolution | 802.11ac WiFi | HDMI | Surround Sound | IR Motion Camera,https//amazon.com/Nintendo-Console-Resolution-802-11ac-Surround/dp/B07RGFF98S,5.0 out of 5 stars,I can't speak on this too much personally it was a present for my daughter but she has had every console that has come out in the last 20 years and she cannot stop raving about this. From our perspective it is fantastic,A present for my daughter. Great buy
Alizely,Nintendo Switch 32GB Console Video Games w/ 32GB Memory Card | Neon Red/Neon Blue Joy-Con | 1080p Resolution | 802.11ac WiFi | HDMI | Surround Sound | IR Motion Camera,https//amazon.com/Nintendo-Console-Resolution-802-11ac-Surround/dp/B07RGFF98S,5.0 out of 5 stars,My boyfriend wanted one of these soo bad so i finally decided to get it for him and let me tell you that it was the best decision i ever did we used to fight about the ps4 lol but not he plays fortnite with me from the nintendo it takes a long time before the battery dies out and everything is soo portable,Definetly Worth it
Jeremiah Nordon,Nintendo Switch 32GB Console Video Games w/ 32GB Memory Card | Neon Red/Neon Blue Joy-Con | 1080p Resolution | 802.11ac WiFi | HDMI | Surround Sound | IR Motion Camera,https//amazon.com/Nintendo-Console-Resolution-802-11ac-Surround/dp/B07RGFF98S,1.0 out of 5 stars,The switch worked great but the dock for TV never did work right it was either flashing on or of with no sound or not working ended up having to buy another dock,dock part did not work right at all
Kyle S. Cabral,Nintendo Switch 32GB Console Video Games w/ 32GB Memory Card | Neon Red/Neon Blue Joy-Con | 1080p Resolution | 802.11ac WiFi | HDMI | Surround Sound | IR Motion Camera,https//amazon.com/Nintendo-Console-Resolution-802-11ac-Surround/dp/B07RGFF98S,5.0 out of 5 stars,Shipped way faster then expected. Only took like 3 days. And it's the newer model that has a longer battery life FYI. I just played Animal Crossing on about 75% brightness for over 6 hours before the battery started getting critically low.,Shipped Fast!
Belyn,Nintendo Switch 32GB Console Video Games w/ 32GB Memory Card | Neon Red/Neon Blue Joy-Con | 1080p Resolution | 802.11ac WiFi | HDMI | Surround Sound | IR Motion Camera,https//amazon.com/Nintendo-Console-Resolution-802-11ac-Surround/dp/B07RGFF98S,5.0 out of 5 stars,"Was delivered quickly and was exactly what we were looking for. Too bad the price is $130 more than what they originally sold for, but considering everyone wanted these during a pandemic, this was the best price I could find. I actually ordered one from another seller and they returned my money because they weren’t able to fulfill my order. I was very happy these guys were able to get the switch to me right away.","Great gaming console, brand new and fast delivery!"
Andreia Chinelati,Nintendo Switch 32GB Console Video Games w/ 32GB Memory Card | Neon Red/Neon Blue Joy-Con | 1080p Resolution | 802.11ac WiFi | HDMI | Surround Sound | IR Motion Camera,https//amazon.com/Nintendo-Console-Resolution-802-11ac-Surround/dp/B07RGFF98S,5.0 out of 5 stars,It was a little pricey. Overall a good console.,Good console but pricey
MS454,Nintendo Switch 32GB Console Video Games w/ 32GB Memory Card | Neon Red/Neon Blue Joy-Con | 1080p Resolution | 802.11ac WiFi | HDMI | Surround Sound | IR Motion Camera,https//amazon.com/Nintendo-Console-Resolution-802-11ac-Surround/dp/B07RGFF98S,5.0 out of 5 stars,"This is probably one of the better values for the Switch out there, at least from what I've seen.  Haven't had any problems with it so far.  I haven't really taken it out of the dock yet (2020 is not the year for travel so I haven't really needed to), but it works great!",One of the better values out there
D,Nintendo Switch 32GB Console Video Games w/ 32GB Memory Card | Neon Red/Neon Blue Joy-Con | 1080p Resolution | 802.11ac WiFi | HDMI | Surround Sound | IR Motion Camera,https//amazon.com/Nintendo-Console-Resolution-802-11ac-Surround/dp/B07RGFF98S,4.0 out of 5 stars,"As soon as I am able I will remove my former negative review. They responded promptly and apologized for the mishap, as well as assuring me the missing 32GB memory card will be shipped. I was very impressed by their willingness to correct the situation, and feel much better about my purchase.",Update to a former review
Tony,Nintendo Switch 32GB Console Video Games w/ 32GB Memory Card | Neon Red/Neon Blue Joy-Con | 1080p Resolution | 802.11ac WiFi | HDMI | Surround Sound | IR Motion Camera,https//amazon.com/Nintendo-Console-Resolution-802-11ac-Surround/dp/B07RGFF98S,1.0 out of 5 stars,Wasn't clear on what version. Box is for new I received old.,Incorrect description
Susan Bertoli,Nintendo Switch 32GB Console Video Games w/ 32GB Memory Card | Neon Red/Neon Blue Joy-Con | 1080p Resolution | 802.11ac WiFi | HDMI | Surround Sound | IR Motion Camera,https//amazon.com/Nintendo-Console-Resolution-802-11ac-Surround/dp/B07RGFF98S,5.0 out of 5 stars,Well the good news it that this looks to be the newer version. Bad news is that you pay $100+ over the regular price of 299.00 I did received the SD card which i saw lots of reviews saying they didn’t. You have to look for it since it is not just out there. They did slide it in the switch box. Over all it is what it is supply and demand. So far the switch box came previously opened and looked fairly new or refurbished? Will continue to use it and it will hopefully continue to go well,Supply and demand
